company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
CETA SPA,Hall A; Stand C2-D7,"Tribune prefabbricate serie G2M: Tribune modulari prefabbricate Serie G2M, progettate per comfort e sicurezza dello spettatore. Elementi trasversali e longitudinali autobloccanti consentono la realizzazione di strutture da 3 a numerose file, con alzata gradone 0,20 m (GM) e 0,40 m (G2M) e pedata 0,75 m. Realizzate in acciaio S235 JR zincato a caldo, saldato da sistemi robotizzati certificati. Montaggio rapido senza viti o bulloni grazie al sistema di auto bloccaggio, garantendo stabilità e sicurezza. Controlli qualità accurati e verifiche sul prodotto finito. Tribune telescopiche: Tribune telescopiche progettate per ottimizzare gli spazi interni con massima flessibilità. Scorrono su ruote e si aprono o richiudono rapidamente, trasformandosi in una struttura compatta a minimo ingombro. Ideali per palestre, palazzetti, sale congressi e ambienti polifunzionali. Realizzate in acciaio S235 JR saldato da sistemi robotizzati e conformi alle normative vigenti, anche in zona sismica. Rivestimento in multistrato resistente, controlli qualità rigorosi e soluzioni personalizzate garantiscono sicurezza, comfort e integrazione architettonica. Tribune speciali: Tribune speciali progettate su misura dallo staff tecnico CETA, con struttura portante in acciaio zincato a caldo e rivestimento in multistrato resistente. Soluzioni ideali per palestre, palazzetti, sale congressi e ambienti polifunzionali, dove sicurezza, durata e integrazione architettonica sono fondamentali. La progettazione personalizzata consente di rispondere a specifiche esigenze funzionali ed estetiche. Sedili DROP, GAME, SET e MONZA: I sedili monoscocca DROP, GAME. SET e Monza sono realizzati in polipropilene copolimero ad alta densità, colorato nella massa e arricchito con additivi anti-UV, antistatici e ignifughi. Sono privi di schienale, con schienale medio e schienale alto e presentano una finitura lucida brillante, nervature di rinforzo e canalette per il rapido deflusso dell’acqua. Sono autoportanti e di facile installazione tramite due e tre punti di ancoraggio con tappi inamovibili. Certificati in Classe 1 (UNO) di reazione al fuoco e conformi alla norma EN 12727, sono ideali per tribune e impianti sportivi. Poltroncine All Stars, All Star S/R, First Class e Top Class: Poltroncine ergonomiche in polipropilene copolimero soffiato ad alta densità, con sedile e schienale (anche reclinabile manualmente) goffrati e colorati nella massa e arricchiti con additivi anti‑UV, antistatici e ignifughi oppure poltroncine imbottite su struttura in acciaio con rivestimento tessile sfoderabile, anallergico e resistente. Disponibili con e senza braccioli rivestiti in poliuretano fissi o ribaltabili su richiesta e con seduta ribaltabile con meccanismo a molla. Ideali per tribune di teatri, auditorium e impianti sportivi, sono conformi alla norma EN 12727 ed in Classe 1 (UNO) e 1IM di reazione al fuoco. Coperture con montanti anteriori: Coperture prefabbricate per tribune con struttura portante in acciaio zincato a caldo e manto in lamiera grecata. Progettate per integrarsi perfettamente con le tribune CETA, offrono protezione e durabilità nel tempo. Disponibili con pilastri frontali, rispondono a diverse esigenze funzionali e architettoniche. Soluzioni conformi alle normative vigenti, ideali per impianti sportivi ed eventi all’aperto. Coperture a sbalzo: Coperture prefabbricate per tribune con struttura portante in acciaio zincato a caldo e manto in lamiera grecata. Progettate per integrarsi perfettamente con le tribune CETA, offrono protezione e durabilità nel tempo. Disponibili con struttura a sbalzo, rispondono a diverse esigenze funzionali e architettoniche. Soluzioni conformi alle normative vigenti, ideali per impianti sportivi ed eventi all’aperto. Palco prefabbricato Serie ‘95 e Palco Multiceta: Palchi prefabbricati realizzati in acciaio S235 JR zincato a caldo e palchi modulari composti da montanti, correnti e traversi prefabbricati Multiceta, con piano di calpestio supportato da travi a traliccio e nodi multidirezionali. Dotati di basette regolabili fino a 50 cm e strutture componibili per garantire versatilità e sicurezza. Conformi alle normative su sovraccarico e sismicità, garantiscono sicurezza, durata e manutenzione minima. Ideali per eventi, concerti, torri tecniche, pareti scenografiche, stand fieristici e manifestazioni di ogni tipo. Transenne Serie City: Transenne modulari CETA Serie City 2.0 e 2.5, compatibili tra loro, ideali per delimitare aree e gestire il pubblico. Robuste, stabili anche singolarmente, con interasse sicuro per bambini. Piedini orientabili per creare recinzioni a qualsiasi angolo. Montaggio rapido ad auto bloccaggio, collegamento continuo con ganci saldati. Zincatura a caldo per lunga durata e resistenza agli agenti atmosferici. Disponibili con catarifrangente mono facciale conforme al Codice della Strada.",francesca.spadaro@cetaspa.com,+39035 4548511,https://cetaspa.com,"Via Grumello, 47-49 24127 Bergamo BG - IT",,
Codega Assicurazioni srl,Hall A; Stand E39,,paoloc@codega-assicurazioni.it,+390341 365361,https://codega-assicurazioni.it,"Via Marco D'Oggiono, 5 23900 Lecco LC - IT",,
CODEX SRL,Hall A; Stand A24-B25,,commerciale@codexsrl.com,+390422 634040,https://codexsrl.com,"Via F. Ferrara, 6 3103 Dosson Di Casier TV - IT",,
COIND PISCINE SRL,Hall B; Stand B12-C15,,maurizio.gorato@coindpiscine.it,+3902 22226791,https://coindpiscine.it,"Corso di Porta Vittoria, 18 20122 Milano MI - IT",,
COS nv,Hall A; Stand E10,,hans.mayer@cos.be,+3255211581,https://cos.be,"Arend de Keyserestraat, 8 9700 Oudenaarde - BE",,
Cremonini Terre Rosse,Hall A; Stand C39,,cristina@cremoninisrl.it,+390542 666381,https://cremoninisrl.it,"Via Pila Cipolla, 6 40026 Imola BO - IT",,
DALLA RIVA SRL,Hall A; Stand C18-D19,,dallariva@dallarivaparquet.com,+39042 3619005,https://dallarivaparquet.com,"Via Vittime del Vajont, 7 31031 Caerano di San Marco TV - IT",,
DEFIM ORSOGRIL SPA,Hall A; Stand C10-D11,"RECINTHA® STADIUM: Recinzione da stadio in rete elettrosaldata conforme alla norma UNI EN13200. Robusta e sicura, garantisce un’ottima visibilità agli spettatori e un’estetica curata grazie al sistema di piantane. Disponibile in tre versioni con altezze diverse per rispondere alle esigenze delle varie aree dell’impianto sportivo: - modello RS1: h 2230 mm - modello RS2: h 2430 mm - modello RS3: h 2230 mm, più 630 mm di offendicola. Corredata da cancelli realizzati secondo le norme vigenti in materia di separatori di spazi e sicurezza per campi da gioco e centri sportivi. RECINTHA® N/L: Recinzione in rete elettrosaldata elegante e leggera, con pannelli arricchiti da onde sinusoidali che le donano un senso di gradevolezza nella delimitazione della proprietà. Facile da installare grazie al giunto brevettato, completamente modulare e altamente personalizzabile, Recintha® N/L si integra armoniosamente in tutti i contesti ed è particolarmente adatta a recintare aree di grande dimensione. Un’ampia gamma di finiture e colori oltre a sistemi di chiusura integrabili permettono di rispondere con precisione alle più diverse esigenze progettuali. Disponibile sia nella versione classica con palo quadro 60x60 mm sia con palo tondo diametro 40 mm. Disponibile anche in acciaio COR-TEN. RECINTHA® P.G.: Recinzione in rete elettrosaldata elegante e leggera, priva di spigoli vivi, che riprende il design del modello Recintha N/L. Dotata di uno speciale corrimano superiore in tubolare che nasconde superfici sporgenti, rendendola ancora più sicura, Recintha® P.G. è adatta a recintare parchi giochi, giardini pubblici, aree di svago, piste ciclabili, aree scolastiche e tramviarie. La sua modularità insieme al sistema di giunto brevettato le conferiscono versatilità e facilità di montaggio. Disponibile sia nella versione con palo quadro 60x60 mm sia con palo tondo diametro 40 mm. STEROPE®: Recinzione modulare in grigliato elettrosaldato che unisce l’eleganza e l’estetica alla solidità e alla trasparenza, grazie alla maglia rettangolare che la costituisce che offre alta permeabilità visiva senza rinunciare alla sicurezza del perimetro. Disponibile con piantane in piatto 60x7 mm o 80x8 mm, Sterope® è la soluzione versatile adatta ad applicazioni per edifici industriali, residenziali, parcheggi, scuole e aree sportive. I sistemi di chiusura coordinati, pedonali e carrabili, assicurano inoltre una protezione efficace, mantenendo un’estetica leggera e raffinata. ACUMINA®: Nata nel solco della cultura artigianale, Acumina® recupera le linee delle cancellate realizzate dai fabbri ma le reinterpreta secondo nuovi standard. È una recinzione di pregio che valorizza l’ambiente in cui è inserita, proteggendolo grazie al suo alto livello di sicurezza, perché non è scavalcabile. La vasta gamma di cromie disponibili e la possibilità di essere declinata con sistemi di chiusura dedicati sono due punti di forza per chi cerca modernità nel rispetto del classico. Acumina® è la soluzione modulare anti-scavalcamento, che unisce tradizione ed estetica, ideale per contesti residenziali, industriali, abitazioni di pregio, parchi e aree esterne di impianti sportivi. TALIA® VENTUS / SCREEN: Certificata antivento si distingue per la qualità dei materiali e per la facilità di posa, resa possibile dall’integrazione tra piantana e pannello. TALIALIVE®: Grazie al processo di maturazione e ossidazione, l’acciaio che la caratterizza è un materiale “vivo”, che può variare nel tempo, in tonalità e sfumature sempre capaci di valorizzare il progetto anche grazie ai giochi di luce e ombra che la struttura a lamelle porta con sé. RECINTHA® SAFETY: Recinzione in rete elettrosaldata ad alta sicurezza invalicabile e anti-taglio grazie all’assenza di appigli e alla stretta maglia da cui è costituita. Progettata per impedire scavalcamenti e manomissioni, Recintha® Safety combina robustezza strutturale e permeabilità visiva, integrandosi con i più avanzati sistemi di videosorveglianza. Lineare, essenziale e sorprendentemente versatile, si adatta con facilità a salti di quota, angolature complesse e sistemi di chiusura personalizzati. Il fissaggio con palo ad Omega con bulloneria inox antifurto e la possibilità di aumentare la rigidità della struttura con traversi opzionali, ne potenziano la protezione. Disponibile in una ricca palette cromatica e con sistema d’allarme MACS integrato per una sicurezza perimetrale all’avanguardia. GRIGLIATO Potissimum®: Potissimum® è il grigliato in acciaio elettrosaldato che unisce robustezza ed estetica grazie ad un avanzato processo produttivo. L’ampia gamma disponibile a magazzino soddisfa le esigenze del settore edile e industriali con pannelli su misura, bordati e scantonati, adattandosi a progetti di qualsiasi complessità. L’ufficio tecnico, unico nel settore, supporta il cliente nella progettazione per soluzioni efficienti ed economiche. I pannelli GEA standard disponibili informato 6100x1000 mm e i pannelli su misura sono marcati CE e forniti con relativa DoP.",ester.cottone@defimorsogril.com,+39031 33521,https://defimorsogril.com,"Via Cavolto, 10 22040 Anzano del Parco CO - IT",,
DEMOSION CONSULTING SRL,Hall A; Stand B11,,m.farina@demosion.it,+39344 0174028,https://demosion.it,"Via Emilio Visconti Venosta, 7 20122 Milano MI - IT",,
Dimo Group Srl,Hall B; Stand A32-B35,,massimo.dimo@dimogroup.com,+390833 555388,https://dimogroup.com,Zona P.I.P. 73055 Racale LE - IT,,
DPE d.o.o.,Hall A; Stand B2/C5,,marko.meden@dpe.si,+38641262753,https://dpe.si,"Ulica Tolminskih Puntarjev, 12 5 Nova Gorica - SI",,
Duol inženiring d.o.o.,Hall B; Stand D25,,gregor.rijavec@duol.eu,+3861 3601400,https://duol.eu,"Kamnik pod Krimom, 142 1352 Preserje - SI",,
ECOPLUS SRL,Hall A; Stand E12,,stefanoginnasi@ecoplusitaly.com,+39344 0974078,https://ecoplusitaly.com,"Via Monviso, 6 2704 Portalbera PV - IT",,
ELASTRADE SRL,Hall A; Stand A14-B15,,simona@gommamica.it,+39035 505039,,"Via dei Termini, 18/A 24040 Osio Sopra BG - IT",,
EMMEBI ENGINEERING SOLUTION S.R.L.,Hall B; Stand B5-B7,,info@emmebiengsol.it,+390438 758203,https://emmebiengsol.it,"Via Guido Rossa, 10 31010 Ponte della Priula TV - IT",,
Ennova Solution Srl,Hall B; Stand C8-D9,,filippo@ennovasolution.com,+39347 1290156,https://ennovasolution.com,"Via San Michele Campagna, 19/c 43036 Fidenza PR - IT",,
Ernesto Collino,Hall A; Stand D38,,ernesto.collino@gmail.com,+393336066946,,"Via Alberico Da Barbinao, 34 20081 Cassinetta di Lugagnano MI - IT",,
EVOLPLAY SRL,Hall A; Stand B10,,sara.vavassori@evolplay.it,+39035 4522 002,https://evolplay.it,"Vicolo Salvo D'Acquisto, 2/D 2405 Grassobbio BG - IT",,
FARAONE S.R.L. a socio unico,Hall B; Stand B2-C5,"Parapetti in vetro per tribuna: In tribuna la priorità è semplice: proteggere la folla senza interrompere la visione . I parapetti NINFA 6 STADIO sono progettati per aree spettatori ad alto affollamento e consentono una barriera trasparente continua, coerente con la curva di visibilità CONI , riducendo gli “schermi” visivi tipici di ringhiere tradizionali. La prestazione è affrontata come requisito strutturale: classe di progetto 500 kg/m e prove in laboratorio fino a 900 kg/m , con dettagli pensati per mantenere l’allineamento del vetro e la qualità percepita nel tempo. In funzione della tribuna e dei vincoli di spazio, sono possibili attacchi sopra pavimento, fronte solaio (per liberare la pedata), sopra muretto (su cordoli esistenti) e soluzioni affogate per massima pulizia architettonica. Il risultato è un sistema “da capitolato”: verificabile, replicabile, con logica modulare utile sia su nuove costruzioni sia su riqualificazioni. Parapetti in vetro per bordo campo: A bordo campo la barriera lavora in un contesto diverso: distanza ravvicinata, passaggi frequenti di staff e operatori, presenza di TV e sponsor, e necessità di mantenere trasparenza totale per pubblico e riprese. Qui il parapetto deve essere stabile , con quote controllate e dettagli che non generino intralci o punti critici nella manutenzione. NINFA la serie 6 permette soluzioni continue e pulite, adatte a stadi e palazzetti, con prestazioni pensate per aree con pubblico reale (classe 500 kg/m, test 900 kg/m). Dal punto di vista cantieristico, il bordo campo spesso impone scelte di fissaggio “intelligenti”: sopra pavimento per interventi rapidi su solette esistenti, sopra muretto quando il perimetro è già definito da cordoli, oppure affogato per nuove realizzazioni dove si vuole azzerare l’impatto visivo. Il vantaggio è una protezione trasparente che non “sporca” il progetto e non compromette l’operatività. Parapetti in vetro per divisori tifoserie: Separare settori e tifoserie è un tema di gestione e sicurezza: la soluzione non deve diventare un “muro” che taglia la vista, ma una barriera trasparente, alta e realmente resistente . NINFA 6 STADIO consente divisori in vetro fino a 3 metri , a norma, progettati per resistere a spinte bidirezionali (sollecitazioni da entrambi i lati) e mantenere continuità visiva in tribuna. A seconda del layout e della struttura, i divisori possono essere fissati sopra pavimento (su travi/cordoli), oppure con soluzioni affogate per massima stabilità e pulizia formale (molto indicate in nuovi impianti o quando si prevedono predisposizioni). In tutti i casi, l’obiettivo è uno: separare in sicurezza senza perdere la qualità dell’esperienza spettatore e senza compromettere le linee di vista. Parapetti in vetro per skybox: Negli skybox la sicurezza deve convivere con standard architettonici premium: allineamenti perfetti , dettagli minimali, nessuna interferenza visiva e una percezione “alto livello”. Ninfa la serie 6 consente parapetti tuttovetro adatti a terrazze e balconate skybox, con prestazioni e logica strutturale pensate per contesti con presenza di pubblico e gestione eventi (classe 500 kg/m, test 900 kg/m). Qui la scelta dell’attacco incide direttamente su estetica e funzionalità: fronte solaio per liberare il piano e ridurre ingombri interni, sopra pavimento su cemento o travi portanti (metallo o legno), sopra muretto in riqualificazioni di balconate esistenti, oppure affogato per integrazione “invisibile” e massima continuità del progetto. Il sistema permette di mantenere pulizia formale e coerenza con facciate e rivestimenti, riducendo le criticità di cantiere grazie a soluzioni testate, replicabili e controllabili. Parapetti in vetro per skywalk: Su skywalk e percorsi panoramici la barriera è un elemento critico: lavora con altezza, vento, affollamento e, spesso, con condizioni di esposizione continuative. Serve un sistema progettato per essere verificabile, collaudato e integrabile nell’opera senza compromessi. Le soluzioni NINFA 6 STADIO nascono per ambienti con pubblico reale e offrono un approccio “ingegnerizzabile” alle prestazioni: classe di progetto 500 kg/m, test fino a 900 kg/m, in un contesto dove la trasparenza deve restare un valore architettonico, non un rischio. Per skywalk, l’attacco affogato è spesso la scelta più pulita e robusta quando si possono prevedere predisposizioni; fronte solaio è utile per contenere gli ingombri sul camminamento; sopra pavimento e sopra muretto diventano opzioni efficaci nelle riqualificazioni, quando la struttura esistente detta le regole. Il risultato è una barriera trasparente continua, capace di mantenere la vista e al tempo stesso rispondere alle sollecitazioni tipiche dei percorsi sopraelevati. Leggi l'articolo Parapetti in vetro per vomitori: Nei vomitori (accessi/uscite tribuna) e nei corridoi di distribuzione, le sollecitazioni cambiano: flussi rapidi, urti accidentali, contatto continuo, cambi di quota , oltre alla necessità di non creare strozzature. Qui il parapetto deve essere robusto e “pratico”: protezione continua, quote corrette, dettagli che resistono all’uso intensivo e facilitano la manutenzione. Anche in queste zone, NINFA porta l’approccio da impianto sportivo: prestazioni per luoghi affollati (classe 500 kg/m, test 900 kg/m). Dal punto di vista della posa, il fronte solaio è spesso determinante per liberare la larghezza utile del percorso; sopra pavimento è efficace quando si lavora su solette esistenti; sopra muretto sfrutta cordoli o parapetti preesistenti; affogato è l’opzione migliore in nuove opere per ridurre ingombri e ottenere una finitura pulita. L’obiettivo è ridurre criticità in cantiere e consegnare un sistema “da gestione impianto”: sicuro, durevole, replicabile.",roberto@faraone.it,+39329 8275400,https://faraone.it,"Via Po, 12 64018 Tortoreto TE - IT",,
FAVARETTI SRL,Hall B; Stand B20,"Tensostrutture su misura: Favaretti Srl progetta e realizza tensostrutture modulari e su misura per impianti sportivi, strutture industriali e logistiche. Ogni progetto nasce da un'analisi approfondita delle esigenze del cliente e viene sviluppato internamente, dalla progettazione alla posa in opera. Le strutture sono costruite con materiali certificati, resistenti agli agenti atmosferici e progettate per durare nel tempo. Il servizio è completamente chiavi in mano: un unico interlocutore segue ogni fase del progetto, garantendo tempi certi, qualità costante e massima personalizzazione. Adatte a coperture per palestre, magazzini, aree sportive e spazi industriali, le tensostrutture Favaretti rappresentano una soluzione funzionale, versatile ed efficiente per chi cerca spazi coperti affidabili e di qualità. Scarica il catalogo Campi da padel chiavi in mano: Favaretti Srl realizza campi da padel su misura con coperture integrate, pensati per un utilizzo ottimale tutto l'anno. Le strutture sono costruite con acciaio strutturale S355, vetro certificato da 12 mm e trattamento di zincatura a caldo, che garantisce una protezione duratura contro corrosione e agenti atmosferici. Ogni progetto è completamente personalizzabile: forma, colori, sistemi di illuminazione, tamponamenti laterali e aree sociali vengono progettati in base alle specifiche esigenze del cliente. Favaretti offre garanzia decennale su struttura e rivestimento, con produzione e logistica interamente gestite internamente. Un'unica azienda segue tutto il processo, dalla consulenza iniziale all'installazione finale, per realizzare il club dei tuoi sogni. Scarica il catalogo Coperture piscina per il pubblico: Favaretti Srl propone soluzioni di copertura per piscine pubbliche e grandi centri natatori, progettate per migliorare sicurezza, efficienza energetica e qualità di gestione dell'impianto. Le coperture isotermiche riducono la dispersione termica e i costi di gestione fino al 35-40% annuo, garantendo al tempo stesso la pulizia dell'acqua e la continuità di utilizzo della vasca. La gamma comprende sistemi automatici motorizzati, coperture di sicurezza conformi alla normativa UNI 11718 e soluzioni invernali ad alte prestazioni. Tutti i prodotti sono realizzati in Italia, con materiali selezionati e processi produttivi certificati ISO 9001. Favaretti gestisce l'intero progetto: dalla consulenza tecnica iniziale fino alla messa in opera e all'assistenza post-installazione. Scarica il catalogo",antonio.marino@favarettigroup.it,+39049 5380535,https://favarettigroup.it,"Via V. Strada, 5/7 35023 Bagnoli di Sopra PD - IT",,
Fieldturf Tarkett sas,Hall B; Stand C2-D3,"CorePrime: CorePrime è una fibra ad alta durabilità contenente il 40% di polimero riciclato, per prestazioni senza compromessi. Il suo rivestimento esterno, morbido al tatto, è realizzato in polietilene vergine per garantire il massimo comfort ai giocatori. CorePrime è progettato per resistere a un uso intensivo e ha dimostrato la sua resistenza attraverso test prolungati con cicli Lisport. Video Natural infills: Quando si tratta di prestazioni e sicurezza dei giocatori, la scelta dell'intaso può fare la differenza! Tarkett Sports offre la più ampia gamma di intasi naturali per coniugare performance e sicurezza con gli obiettivi di sostenibilità. La gamma Tarkett Sports include PureSelect (realizzato con noccioli d'oliva), PureFill (realizzato in sughero) e PureGrain (realizzato con tutolo di mais). Shockbase: Shockbase è un sottotappeto elastico (shockpad) di alta qualità, progettato specificamente per i campi in erba sintetica FieldTurf. Realizzato in polipropilene espanso, è progettato per soddisfare i più elevati standard di prestazioni sportive, ambientali e di sicurezza. Completare il sistema con un sottotappeto elastico garantisce l'attenuazione degli impatti per la sicurezza dei giocatori, riduce la quantità di intaso necessaria e aiuta a mantenere le elevate prestazioni del campo nel tempo. ORIGIN TechnologyTM: ORIGIN Technology™ è l'innovazione rivoluzionaria di Tarkett Sports che ridefinisce il modo in cui l'erba sintetica viene prodotta, utilizzata e riciclata. Si tratta di una soluzione realmente circolare, progettata per offrire prestazioni costanti, dai campi sportivi comunali alle competizioni d'élite. Eliminando il lattice SBR e il poliuretano (PU) in favore di un manto realizzato al 100% in materiali termoplastici, ORIGIN Technology™ permette una completa circolarità. Grazie a un film brevettato in copolimero di polietilene, rappresenta una nuova generazione di sistemi per manti erbosi circolari che possono rientrare nel ciclo produttivo senza necessità di smantellamento, permettendo a ogni campo di diventare la materia prima per quello successivo. Un solo materiale. Un solo processo. Un unico ciclo chiuso. Video Beynon: In Beynon®, progettiamo superfici per l'atletica leggera dove la prestazione si misura in frazioni di secondo. Grazie a decenni di esperienza nel settore e a una profonda conoscenza della biomeccanica degli atleti, le nostre superfici sono progettate per ottimizzare il ritorno di energia, migliorare la sicurezza e offrire prestazioni costanti in condizioni di gara. Dalle scuole agli stadi di livello mondiale, le piste Beynon® godono della fiducia di atleti, allenatori e proprietari di impianti che esigono precisione, affidabilità e durabilità a lungo termine. Ogni superficie è studiata per massimizzare la velocità, resistere a un uso intensivo e soddisfare i più elevati standard sportivi, permettendo agli atleti di dare il massimo ogni volta che scendono in pista. GrassMaster: In GrassMaster, offriamo la migliore esperienza di erba ibrida possibile. Combinando l'autenticità dell'erba naturale con la resistenza di un'avanzata tecnologia ibrida, i nostri sistemi offrono un'eccezionale qualità di gioco, garantendo al contempo durata e affidabilità a lungo termine in condizioni di uso intensivo. Scelti dalle competizioni più prestigiose al mondo, inclusi tornei internazionali ed eventi olimpici, GrassMaster e PlayMaster mantengono prestazioni costanti, tempi di recupero rapidi e rari standard di sicurezza durante calendari agonistici impegnativi. Per i gestori degli stadi, questo si traduce in una maggiore disponibilità del campo e operazioni ottimizzate. Per i giocatori e gli allenatori, assicura la massima fiducia nella superficie, partita dopo partita. Video Tarkett Sports Indoor: Forte di una riconosciuta tradizione di eccellenza francese, da decenni supportiamo comuni, architetti e installatori nella creazione di impianti sportivi sicuri, versatili ed esteticamente gradevoli, progettati per ogni livello di gioco. Con un portafoglio completo di soluzioni ad alte prestazioni che include pavimentazioni sportive in PVC, sistemi in legno per lo sport, sistemi combinati, superfici per il fitness e soluzioni di protezione soddisfiamo le esigenze specifiche di ogni spazio indoor. Poniamo la qualità, la prossimità e la sostenibilità al centro del nostro approccio, sviluppando soluzioni progettate per prolungare la vita del prodotto, ridurre l'impatto ambientale e resistere all'intensità dello sport, così come agli utilizzi extra-sportivi delle strutture indoor.",lorenzo.aralla@external.tarkett.com,+39335 6977904,https://external.tarkett.com,"1, Terrace Bellini Tour Initiale 92919 Paris - FR",,
FJDynamics International Limited,Hall A; Stand E29,,serena.su@fjdynamics.com,+852264 88799,https://fjdynamics.com,"Flat/Rm 520, 5/F, Core Building 1, Phase 1, 1 Science Park East Avenue 999077 Sha Tin - HK",,
Freetness Italia,Hall A; Stand A22-B23,,massimo.digrigoli@freetness.fr,+39329 6520654,https://freetness.fr,"Via Campania, 35 92022 Cammarata AG - IT",,
Gammasport,Hall A; Stand D27,"Panchine giocatori e allenatori: Gammasport si occupa della progettazione e produzione di panchine per allenatori pensate per ogni tipologia di impianto sportivo, dalle realtà dilettantistiche a quelle professionistiche. Costruite in alluminio oppure in acciaio zincato, possono essere personalizzate scegliendo tipologia e colore delle sedute, tipologia dei pannelli di rivestimento, possono essere fisse o trasportabili su ruote. Porte calcio: Le Porte da calcio prodotte da Gammasport sono certificate dal Bureau Veritas in conformità alla Norma Uni En 749 e sono presenti in numerosi stadi italiani ed esteri. Realizzate in alluminio con componenti in acciaio zincato, garantiscono sicurezza e durata nel tempo. Porte calcetto antiribaltamento: Nate dalla partnership con la ditta Tutigol produttrice delle zavorre brevettate, e perfezionate dalla collaborazione con FIGC LND, queste porte sono dotate di un sistema antiribaltamento integrato e garantiscono la totale sicurezza dei giocatori in campo. Grazie all'Accordo con Divisione Calcio a 5, sono impiegate nei campionati di Serie A1, A2 Maschile e A1 Femminile. Porta Multisport con canestro integrato: Impianto combinato composto da porta calcetto interamente saldata e zincata, con soprastante tabellone minibasket e canestro regolamentare. Ideale per aree multisport e campi polivalenti all’interno di parchi pubblici, scuole, oratori .. La struttura è certificata in conformità norma UNI EN 15312 ed assicura robustezza e durata nel tempo. Arene: Soluzioni strutturali per aree multisport progettate per un utilizzo intensivo e polivalente. Realizzate in acciaio zincato e chiuse da pannelli coibentati e rete di contenimento laterale e superiore. Personalizzabili come dimensioni e finiture, sono ideali per allenamenti tattici oppure per creare zone gioco chiuse e delimitate. Tribune: Tribuna modulari per interno o esterno progettate e realizzate in base alle esigenze del cliente e in conformità alle normative vigenti. Impianti basket: Gammasport offre una gamma completa di impianti per la pallacanestro, progettati per garantire elevate prestazioni e massima sicurezza. Realizziamo soluzioni fisse e mobili, pensate e personalizzate in base alle caratteristiche della struttura ove andranno installate, nel rispetto delle normative vigenti. Arredo palestra: Gammasport propone arredamento completo per gli ambienti sportivi, moduli funzionali per spogliatoi, panche e armadietti, oltre a soluzioni specifiche per locali infermeria. Porte Beach Handball: Gammasport produce porte professionali in alluminio per beach handball, progettate per garantire stabilità e sicurezza durante il gioco.",info@gammasport.com,+390438 454305,https://gammasport.com,Via Vecchia Trevigiana 31058 Susegana TV - IT,,
GEORGIOS ANGELIS KAI SIA EE QUINCE ELECTRONICS,Hall B; Stand A3-A5,,angelis@quinceelectronics.com,+30210 2618700,https://quinceelectronics.com,47 Evaggelistrias Street 13122 Ilion Attica - GR,,
GEWISS,Hall A; Stand C12-D15,"Gamma QDX: La gamma QDX offre una soluzione completa e integrata per la distribuzione dell’energia in bassa tensione. Composta dai quadri QDX 4000 H, QDX 1600 H, QDX 630 H e QDX 630 L, garantisce continuità progettuale, versatilità applicativa e prestazioni elevate in ogni contesto. Grazie alla perfetta sinergia tra quadri primari e secondari, la serie risponde alle esigenze di impianti industriali e terziari con soluzioni affidabili, configurabili e personalizzabili. Un ecosistema coordinato che semplifica progettazione, installazione e gestione, assicurando qualità, efficienza e continuità operativa. I-ON EVO JOINON: Le colonnine di ricarica I-ON EVO JOINON sono progettate per spazi pubblici, semi-pubblici e aziendali, offrendo affidabilità, resistenza e flessibilità d’installazione grazie alle versioni da parete e da pavimento. Il grado di protezione IP55 assicura elevata durabilità contro agenti atmosferici, urti e atti vandalici. L’esclusivo design esagonale si integra armoniosamente nei contesti urbani, migliorando l’esperienza d’uso. Le soluzioni si integrano con l’app myJOINON e la piattaforma SMALL NET per il mondo business, e con JOINON Charge&Go e LARGE NET per gli spazi pubblici. Disponibili con grafica standard o personalizzata su richiesta. ChoruSmart: ChoruSmart è l’ecosistema GEWISS per la gestione intelligente di ambienti residenziali e terziari, progettato per coniugare comfort, sicurezza, efficienza energetica e personalizzazione. Grazie all’integrazione di tecnologie tradizionali, wireless e KNX, consente di realizzare impianti scalabili, dalla Smart Home Connessa ai sistemi Home&Building Pro. L’ecosistema comprende dispositivi evoluti come i comandi assiali EVO, le placche EGO Smart e la pulsantiera ECO senza batterie, gestibili tramite app dedicate e assistenti vocali. Una soluzione completa che unisce design, innovazione e flessibilità per adattarsi a ogni esigenza installativa.",oscar.valota@gewiss.com,+39035 946111,https://gewiss.com,"Via Domenico Bosatelli, 1 24069 Cenate Sotto BG - IT",,
Giochinfiniti srl,Hall A; Stand A12- B13,,sviluppo@giochinfiniti.it,+39085 4429605,https://giochinfiniti.it,"Via Roma, 130 64028 Silvi TE - IT",,
GLOBAL DISPLAY SOLUTIONS SPA,Hall B; Stand A14,,m.gecchele@gds.com,,,,,
