company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Stadtpolizei Chur,,Training and career areas: Polizist/in mit eid. Fachausweis (BP),,,https://search.ch,,,
Stiftung La Capriola,,Training and career areas: Detailhandelsassistent/in EBA; Detailhandelsfachmann/-frau EFZ; Fachmann/-frau Hotellerie-Hauswirtschaft EFZ; Kaufmann/-frau EBA; Kaufmann/-frau EFZ; Koch/Köchin EFZ; Küchenangestellte/r EBA; Praktiker/in Hotellerie-Hauswirtschaft EBA; Praktiker/in PrA Detailhandel Textil; Praktiker/in PrA Hotellerie-Hauswirtschaft; Praktiker/in PrA Küche; Praktiker/in PrA Restaurant; Restaurantangestellte/r EBA; Restaurantfachmann/-frau EFZ,info@lacapriola.ch,+41815300163,https://lacapriola.ch,Stiftung La Capriola Engadinstrasse 2 7000 Chur,,
suissetec grischun,,Training and career areas: Gebäudetechnikplaner/in Heizung EFZ; Gebäudetechnikplaner/in Lüftung EFZ; Gebäudetechnikplaner/in Sanitär EFZ; Heizungsinstallateur/in EFZ; Heizungspraktiker/in EBA; Lüftungsanlagenbauer/in EFZ; Lüftungsanlagenpraktiker/in EBA; Sanitärinstallateur/in EFZ; Sanitärpraktiker/in EBA; Spengler/in EFZ; Spenglerpraktiker/in EBA,,,https://suissetec-grischun.ch,suissetec grischun Hinterm Bach 40 7000 Chur,,
SUPSI,,"Training and career areas: Ergotherapie FH, Bachelor of Science BSc; Ernährung und Diätetik FH, Bachelor of Science BSc; Physiotherapie FH, Bachelor of Science BSc; Soziale Arbeit FH, Bachelor of Science BSc",,,https://supsi.ch,"Le Genre, Via Pobiette 11 6928 Manno",,
SwissSkills,,,,+41315520515,https://swiss-skills.ch,SwissSkills Schwarztorstrasse 87 3007 Bern,,
THIM/SUPSI (Physiotherapie),,,mailtol:info@ahb.ch,,https://campus-graubuenden.ch,Thim van der Laan AG Weststrasse 8 7302 Landquart,,
Thomann Nutzfahrzeuge,,Training and career areas: Automobil-Assistent/in EBA; Automobil-Fachmann/-frau EFZ; Automobil-Mechatroniker/in EFZ; Detailhandelsfachmann/-frau EFZ,,,https://lehre.thomann.swiss,Thomann Nutzfahrzeuge Industriestrasse 9 7000 Chur,,
TRUMPF Schweiz AG,,Training and career areas: Automatiker/in EFZ; Automatikmonteur/in EFZ; Elektroniker/in EFZ; Fachmann/-frau Betriebsunterhalt EFZ; Informatiker/in EFZ; Kaufmann/-frau EFZ; Logistiker/in EFZ; Polymechaniker/in EFZ; Produktionsmechaniker/in EFZ,,,https://trumpf.com,TRUMPF Schweiz AG TRUMPF Strasse 8 7214 Grüsch,,
Valser Mineralquellen,,Training and career areas: Brau- und Getränketechnologe/-login EFZ; Lebensmittelpraktiker/in EBA; Logistiker/in EBA; Logistiker/in EFZ,,,https://careers.coca-colahellenic.ch,VALSER Mineralquellen GmbH (ein Unternehmen der Coca-Cola HBC Schweiz AG) Camp 519 7132 Vals,,
Verband Bündner Elektrizitätsversorgungsunternehmen (VBE),,Training and career areas: Elektroinstallateur/in EFZ; Montage-Elektriker/in EFZ; Netzelektriker/in EFZ; Polymechaniker/in EFZ,info@vbe-graubuenden.ch,,https://vbe-graubuenden.ch,Verband Bündner Elektrizitätsversorgungsunternehmen (VBE) Hartbertstrasse 11 7001 Chur,,
"Verband Bündnerischer Gemeindeangestellter, VBGA",,Training and career areas: Kaufmann/-frau EFZ,,,https://vbga.ch,"VBGA, c/o comune di Bregaglia Via ai Crott 17 7206 Promotogno",,
Verband Schweizerischer Schreinermeister und Möbelfabrikanten Graubünden (VSSM GR),,"Training and career areas: Schreiner/in EFZ; Schreinerpraktiker/in EBA; AVOR-Spezialist/in VSSM; Dipl. Holztechniker/-in HF Schreinerei / Innenausbau; Einstieg Projektleitung Schreinerei; Fertigungsspezialist/in VSSM; Montagespezialist/in VSSM; Projektleiter/-in Schreinerei mit eidg. FA; Schreinermeister/in, dipl. (HFP)",,,https://vssm-gr.ch,"Verband Schweizerischer Schreinermeister und Möbelfabrikanten, VSSM GR Bahnhofplatz 1 7302 Landquart",,
"Verein zur Förderung von Elektronik und Informatik Berufen, VFEI",,Training and career areas: Elektroniker/in EFZ; Informatiker/in EFZ,info@vfei.ch,,https://vfei.ch,"Verein zur Förderung von Elektronik und Informatik Berufen, VFEI Tardisstrasse 199 7205 Zizers",,
Volg Detailhandels AG,,Training and career areas: Detailhandelsassistent/in EBA; Detailhandelsfachmann/-frau EFZ,,,https://volg.ch,"Volg Detailhandels AG, Sekretariat Ost Löserstrasse 7 7302 Landquart",,
"Vorausscheidung EuroSkills, Holzbau Schweiz",,,,,,,,
